iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DEU,Germany,MtCO2e,1097.01,1069.68,1024.28,1015.77,1006.18,1001.85,1031.87,994.72,971.87,933.75,926.2,977.96,961.75,962.83,946.19,924.24,933.02,904.59,907.43,850.93,881.42,840.84,854.06,870.45,829.6,834.28,837.12,819.85,791.24,740.33,684.63,713.29
MEX,Mexico,MtCO2e,435.34,454.63,457.58,475.02,501.85,481.27,500.56,524.75,558.08,541.69,568.7,476.02,486.49,513.62,520.83,544.9,564.59,576,579.79,568.91,585.61,689.57,695.09,682.01,674.88,691,699.52,696.73,666.59,677.6,615.58,638.55
KOR,South Korea,MtCO2e,251.21,277.71,299.93,330.09,357.1,388.99,416.56,442.17,376.8,414.56,466.17,459.36,461.57,469.56,495.16,490.22,498.52,508.55,521.33,535.08,586.72,620.42,623.77,623.98,613.45,634.41,649.4,662.97,669.75,654.42,614.66,632.43
AUS,Australia,MtCO2e,543.79,544.83,544.9,547.61,554.49,561.09,563.96,575.46,601.19,641.3,660.32,667.46,663.85,587.61,638.42,601.65,648.12,649.65,620.15,638.51,619.31,659.37,661.95,578.38,595.4,592.53,600.4,646.2,643.14,630.85,580.76,576.4
ZAF,South Africa,MtCO2e,336.73,332.84,329.44,339.88,346.62,359.39,370.66,386.38,394.82,374.35,378.09,411.01,426.27,449.58,478.06,478.23,480.94,502.31,535.26,513.62,536.8,520.9,540.99,551.02,563.22,538.57,538.95,552.19,556.84,563.55,509.29,517.35
TUR,Türkiye,MtCO2e,188.5,190.96,198.44,204.73,199.9,214.4,232.11,241.1,242.32,242.2,266.14,218.2,228.49,239.99,246,258.46,287.68,317.3,314.46,317.97,328.18,334.29,349.85,340.71,366.06,374.19,432.16,474.47,474.88,462.83,475.93,513.66
GBR,United Kingdom,MtCO2e,760.98,769.76,751.96,733.58,731.06,723.31,744.78,724.53,722.24,698.37,700.4,710.56,692.32,701.12,695.84,689.74,686.12,670.76,649.85,593.78,606.91,564.04,583.9,567.36,526.94,511.46,490.47,476.81,466.79,450.43,408.53,427.9
ARG,Argentina,MtCO2e,299.58,303.99,309.02,310.06,313.6,316.66,328.47,334.16,339.49,346.83,345.65,387.66,384.72,407.12,422.97,426.35,440.74,453.22,457.72,436.8,442.27,423.22,428.31,438.16,435.8,441.93,409.76,413.92,412.21,408.72,396.76,419.55
ITA,Italy,MtCO2e,448.84,446.4,443.39,437.43,432.52,457.94,454.52,458.41,469.84,477.39,482.82,481.21,490.53,509.36,521.08,522.43,510.49,503.68,488.61,439.59,448.19,437.64,419.46,387.48,367.8,379.41,396.74,391.5,386.44,377.36,339.49,375.05
FRA,France,MtCO2e,472.05,497.08,482.52,463.57,457.83,466.51,486.24,476.89,492.93,483.75,482.15,445.93,438.98,444.16,442.32,443.63,433.79,427.09,421.07,403.2,407.15,395.99,399.64,400.65,367.18,372.53,371.85,375.22,360.73,351.5,314.54,343.14
Data source,Climate Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data for,Location: G20. Sectors/Subsectors: Total including LUCF. Gases: All GHG. Calculation: Total. Show data by Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
